PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,Balls,Strikes,PitchCall,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,AutoPitchType,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2025-10-06,12:16:14,"McNeillie, Luke",703667,Right,FLA_GAT,Undefined,0,0,BallCalled,Fastball,NA,NA,94.04866,-2.696871,-5.227728,2342.644403,229.339188,01:45:00,5.93608,1.9953,5.07435,-18.68536,13.86891,15.00969,1.82398,-1.69608,86.61168,-6.140774,-2.589708,0.410653,-8.74906,7.85571,-1.51069,50,5.66465,11.70767,-135.94218,-7.14308,-16.55099,26.75463,-17.31302,66144858-1044-455c-a263-2489d011d166,NA,NA,NA,NA,NA,701331,"Cyr, Blake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,acc3d2d0-a2cf-11f0-ba78-370000ced80a,1,1,FLA_GAT,1,Top,0,Four-Seam,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251006-CondronBallpark-Private-1,91.78651,NA,NA,7.43698,NA,NA,NA,67be6289-2770-45be-bde8-1bf6332ea231,2025-10-06,16:16:14,2025-10-06T16:16:14Z,2025-10-06T16:16:14Z,NA,v3,471297,471297,NA,"Bowen, Karson",702710,Right,FLA_GAT,55.42584,-137.00587,13.37731,5.93496,-6.45476,-8.65651,-1.98924,12.3657,-8.2755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
2,2025-10-06,12:16:29,"McNeillie, Luke",703667,Right,FLA_GAT,Undefined,1,0,InPlay,TwoSeamFastBall,NA,NA,93.83938,-2.479732,-3.789417,2338.943913,236.487403,02:00:00,5.93698,1.96571,5.27313,-20.2343,12.09422,16.81623,1.91506,-0.19748,86.50247,-6.209612,-0.812059,0.409227,-9.43654,6.97386,-1.6322,50,5.69511,8.22457,-135.98928,-6.66815,-17.84264,27.10903,-18.98782,02a01b43-7687-42d5-b8c1-d73fb05a77fc,NA,NA,NA,NA,0.649653,701331,"Cyr, Blake",NA,NA,104.26055,Right,-4.09577,NA,NA,NA,21.37071,12.68555,0.139749,0.871804,0.45248,2.1324,0.16693,NA,NA,NA,NA,NA,b5a86f50-a2cf-11f0-ba78-370000ced80a,1,2,FLA_GAT,1,Top,0,Sinker,Undefined,GroundBall,Single,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251006-CondronBallpark-Private-1,92.10643,2.1324,NA,7.33691,NA,NA,NA,67be6289-2770-45be-bde8-1bf6332ea231,2025-10-06,16:16:29,2025-10-06T16:16:29Z,2025-10-06T16:16:29Z,GroundBall,v3,471297,471297,NA,"Bowen, Karson",702710,Right,FLA_GAT,55.22845,-137.02759,13.55451,5.93658,-5.9409,-9.49391,-1.96031,8.90797,-8.92132,13.680647,0.4526,152.50443,-20.31924,NA,NA,NA,NA,NA,NA,2.13303,-10.98203,-30.66769,NA,NA,NA,NA,NA,NA,0.16705,1.71809,-4.20423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA
3,2025-10-06,12:16:56,"McNeillie, Luke",703667,Right,FLA_GAT,Undefined,1,0,BallCalled,Slider,NA,NA,85.01551,2.014023,-1.129404,2645.157896,78.627283,08:30:00,5.9688,2.24784,4.9029,-39.33124,0.56736,-2.98358,4.59711,0.93094,78.13255,-5.107035,-1.654897,0.454622,1.17713,0.1322,-2.13474,50,6.13286,2.56704,-123.34749,2.78977,1.82615,22.93314,-31.96896,4a327cc0-3585-4d19-9ca2-becdc9c541e7,NA,NA,NA,NA,NA,701331,"Cyr, Blake",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c5c7a1d0-a2cf-11f0-ba78-370000ced80a,2,1,FLA_GAT,1,Top,0,Slider,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251006-CondronBallpark-Private-1,82.90942,NA,NA,6.88296,NA,NA,NA,67be6289-2770-45be-bde8-1bf6332ea231,2025-10-06,16:16:56,2025-10-06T16:16:56Z,2025-10-06T16:16:56Z,NA,v3,471297,471297,NA,"Bowen, Karson",702710,Right,FLA_GAT,55.59655,-124.38367,11.46657,5.97418,4.2342,-15.98448,-2.24886,2.48453,0.91308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
4,2025-10-06,12:17:16,"McNeillie, Luke",703667,Right,FLA_GAT,Undefined,2,0,StrikeSwinging,Fastball,NA,NA,94.28778,-1.895865,-4.182916,2368.395552,213.936626,01:15:00,6.02937,2.27036,5.37934,-12.66012,19.57092,12.4556,3.19172,-0.61985,85.83568,-4.31993,-1.977561,0.40861,-7.42449,10.6702,-1.90451,50,5.8507,9.38689,-136.45575,-4.91611,-13.9901,30.19928,-12.06796,ef88f58e-bfd6-4dce-bcdf-fd37a909393a,NA,NA,NA,NA,NA,803734,"Yost, Hayden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d23abc40-a2cf-11f0-ba78-370000ced80a,2,2,FLA_GAT,1,Top,0,Four-Seam,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251006-CondronBallpark-Private-1,92.245590000000007,NA,NA,8.4521,NA,NA,NA,67be6289-2770-45be-bde8-1bf6332ea231,2025-10-06,16:17:16,2025-10-06T16:17:16Z,2025-10-06T16:17:16Z,NA,v3,471297,471297,NA,"Bowen, Karson",702710,Right,FLA_GAT,55.1193,-137.58404,15.09964,6.02595,-4.46523,-6.03398,-2.26498,9.90959,-6.99505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
5,2025-10-06,12:17:29,"McNeillie, Luke",703667,Right,FLA_GAT,Undefined,2,1,BallCalled,Slider,NA,NA,85.45176,0.28278,-0.655181,2808.787825,43.457012,07:30:00,5.95406,2.50605,4.81942,-42.98829,-3.18473,-4.19036,2.63957,1.53623,78.42571,-7.460948,-1.393551,0.45408,1.87457,-1.24721,-2.43723,50,5.94498,1.61093,-123.98457,-1.12985,2.91861,24.73756,-34.11584,9a689853-1aa0-42fa-ae4c-ef1c4c09c36f,NA,NA,NA,NA,NA,803734,"Yost, Hayden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d9f13900-a2cf-11f0-ba78-370000ced80a,2,3,FLA_GAT,1,Top,0,Slider,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251006-CondronBallpark-Private-1,83.00834,NA,NA,7.02606,NA,NA,NA,67be6289-2770-45be-bde8-1bf6332ea231,2025-10-06,16:17:29,2025-10-06T16:17:29Z,2025-10-06T16:17:29Z,NA,v3,471297,471297,NA,"Bowen, Karson",702710,Right,FLA_GAT,55.67998,-125.11271,12.36878,5.96103,0.42598,-17.05792,-2.50766,1.47782,1.4593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
6,2025-10-06,12:17:43,"McNeillie, Luke",703667,Right,FLA_GAT,Undefined,3,1,StrikeCalled,Fastball,NA,NA,95.02659,-3.148595,-3.151333,2461.24373,218.214468,01:15:00,5.98287,1.95694,5.38703,-11.98075,19.68454,14.6828,2.02586,0.22379,86.73247,-5.441657,-0.54568,0.405007,-8.23914,11.06272,-1.68578,50,5.69278,6.87109,-137.58215,-7.94321,-15.80453,30.30212,-10.95322,99324c17-6310-49e3-9c45-829b591699fd,NA,NA,NA,NA,NA,803734,"Yost, Hayden",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,e1db48e0-a2cf-11f0-ba78-370000ced80a,2,4,FLA_GAT,1,Top,0,Four-Seam,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251006-CondronBallpark-Private-1,93.06604,NA,NA,8.29413,NA,NA,NA,67be6289-2770-45be-bde8-1bf6332ea231,2025-10-06,16:17:43,2025-10-06T16:17:43Z,2025-10-06T16:17:43Z,NA,v3,471297,471297,NA,"Bowen, Karson",702710,Right,FLA_GAT,55.11202,-138.70349,15.15106,5.97922,-7.53788,-5.47661,-1.95087,7.45594,-7.90226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
7,2025-10-06,12:18:02,"McNeillie, Luke",703667,Right,FLA_GAT,Undefined,3,2,BallCalled,Slider,NA,NA,86.52563,-0.55205,-3.202203,2573.574811,82.5269,08:45:00,6.00075,2.18562,4.55082,-38.94597,0.4224,-6.15489,2.22893,-1.37862,79.4344,-7.528545,-4.27773,0.451591,2.10827,0.72784,-1.84626,50,5.90664,7.30095,-125.27882,-2.83126,3.34941,25.39052,-31.01775,5584d2b4-1030-4f59-9ff2-61e3d2730b8c,NA,NA,NA,NA,NA,812807,"Jones, Kyle",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ed5424d0-a2cf-11f0-ba78-370000ced80a,2,5,FLA_GAT,1,Top,0,Slider,Walk,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251006-CondronBallpark-Private-1,83.46589,NA,NA,7.09123,NA,NA,NA,67be6289-2770-45be-bde8-1bf6332ea231,2025-10-06,16:18:02,2025-10-06T16:18:02Z,2025-10-06T16:18:02Z,NA,v3,471297,471297,NA,"Bowen, Karson",702710,Right,FLA_GAT,55.94824,-126.47861,12.69526,6.0058,-1.36556,-15.50887,-2.18752,7.14268,1.6747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
8,2025-10-06,12:18:15,"McNeillie, Luke",703667,Right,FLA_GAT,Undefined,0,0,BallCalled,Fastball,NA,NA,94.62564,-4.366199,-2.945584,2459.434206,209.283569,01:00:00,6.0948,1.8102,5.35167,-9.67993,22.60655,12.03638,1.17965,0.04809,85.78754,-6.261968,-0.811121,0.408961,-6.91197,12.97072,-1.55389,50,5.6944,6.45637,-136.71448,-10.69623,-12.99381,32.03609,-7.79044,2ae898af-548c-46fe-9540-c319475fc02c,NA,NA,NA,NA,NA,812807,"Jones, Kyle",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,f53d2340-a2cf-11f0-ba78-370000ced80a,3,1,FLA_GAT,1,Top,0,Four-Seam,Undefined,Undefined,Undefined,0,0,NA,FLA_GAT,FLA_GAT,CondronBallpark,TeamExclusive,Team,20251006-CondronBallpark-Private-1,92.16642,NA,NA,8.83809,NA,NA,NA,67be6289-2770-45be-bde8-1bf6332ea231,2025-10-06,16:18:15,2025-10-06T16:18:15Z,2025-10-06T16:18:15Z,NA,v3,471297,471297,NA,"Bowen, Karson",702710,Right,FLA_GAT,55.14633,-137.91513,16.01805,6.0898,-10.40426,-3.89522,-1.805,6.94335,-6.4969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA
